about,address,area,award_winner,children,disabled_access,dogs,dress_code,gardens,gluten_free,halal,latitude,longitude,menu_description,menu_url,music,name,nearest_railway_station,nut_free,outdoor_seating,region,starting_price,times,vegan,vegetarian,venue_url,where_to_sit
"Macdonald Manchester Hotel, is located in the heart of Manchester, just a short walk from Piccadilly Station.  Afternoon Tea is served in the relaxed and comfortable Lounge Bar or Restaurant. Enjoy a freshly prepared selection of delicious finger sandwiches, including Ham and Piccalilli, Cheddar with plum chutney and Coronation chicken. F luffy scones are served with jam and clotted cream, along with a selection of cakes, including Chocolate croustillant, Raspberry eclair and Pistachio and chocolate financier.  Afternoon Tea is served with your choice of tea or coffee and can be made gluten free, dairy free, vegetarian and vegan.  Afternoon Tea is served every day from 12pm to 3pm and costs £25 per person, or £29 with a glass of Prosecco.","London Road, Manchester,M1 2PG",Manchester,,Children of all ages welcome,,Guide dogs only,,,Advance request required,Advance request required,53.47546,-2.22979,,www.afternoontea.co.uk//media/uomjqqs5/afternoon-tea-menu-2021-manchester-pdf.pdf,,Macdonald Manchester Hotel,Piccadilly Station – located just 200 steps from the hotel,Advance request required,,North West,25.00,Afternoon Tea is served 12pm to 3pm every day,Advance request required,,https://www.afternoontea.co.uk/uk/north-west/manchester/macdonald-manchester-hotel/,Hotel Restaurant or Hotel Bar
"Set in tranquil surroundings in the heart of the Lake District, Macdonald Leeming House provides an oasis of calm that is perfect to relax and indulge in the great British tradition of Afternoon Tea.  Afternoon Tea can be served in either the Lake View Lounge which is a warm and relaxing room featuring an open fire or the outdoor terrace where guests can enjoy panoramic views of Lake Ullswater and Hallin Fell.  Their Afternoon Tea menu consists of an array of sweet and savoury items such as finger sandwiches & warm scones with jam. If you are feeling extra indulgent then you can upgrade to include a glass of Champagne.  Junction Beckenham is in Watermillock, just a short drive away from Penrith, Cumbria.","Watermillock Ullswater Nr. Penrith Cumbria,CA11 0JJ",Cumbria,,Children of all ages welcome,Yes,Guide dogs only,Smart casual,Yes,"Yes, available upon request","Yes, please give 24 - 48 hours notice",54.586763,-2.866907,"TRADITIONAL AFTERNOON TEA -; £35 PER PERSON; Selection of hand made sandwiches on freshly baked bread; Freshly baked plain and fruit scones served with clotted cream and strawberry preserve; Assortment of homemade cakes, pastries and pancices; Served with your choice of freshly brewed loose-leaf tea; CHAMPAGNE AFTERNOON TEA -; £45 per person; Traditional Afternoon Tea with a chilled glass of Champagne, served with a caviar and smoked salmon bellini.",,No,Macdonald Leeming House,Penrith - around 5 miles to the hotel,"Yes, available upon request",Yes,North West,35.00,Afternoon Tea is served 12pm to 5pm every day,"Yes, available upon request",,https://www.afternoontea.co.uk/uk/north-west/cumbria/macdonald-leeming-house/,"One of the following - Lake View lounge with open fire, sitting room with open fire, the terrace outside overlooking the lake"
"One of the most idyllic places for a spot of Afternoon Tea, MacDonald Elmers Court offers classic Afternoon Tea in a sprawling 19th century Tudor Manor for a more refined occasion.  Perched atop the Solent Coast on the outskirts of the New Forest, there are 23 acres of grounds to explore before dining. Step inside and you will find simple but elegant country-living decor with mahogany furnishings and tasteful decoration.  They provide a traditional three-tier stand with finger sandwiches, delicious preserves and homemade scones, pastries and cakes. Looking for a light bite? Macdonald Elmers Court speciailise in tea and have a range of infusions served with homemade shortbread  Just a short stroll away is Lymington Pier Rail Station, or stay longer and visit the beautiful landscapes of Isle of Wight and Hampshire.","South Baddlesey Road, Lymington,SO41 5ZB",Hampshire,,Children of all ages welcome,Yes,No dogs,Smart casual,Yes,Available on request,TBC,50.758694,-1.524529,"AFTERNOON TEA; Macdonald Afternoon Tea; £23.00 per person; A three tier Afternoon Tea comprising of a selection of traditional finger sandwiches, freshly baked scones with Devonshire clotted cream and strawberry preserve and assorted fresh fine pastries & cakes. Served with a choice of teas, tisanes & coffee; Champagne Afternoon Tea; £30.00 per person; As above, with a glass a glass of Moet & Chandon Imperial; Cream Tea; £9.95 per person; Freshly baked scones with Devonshire clotted cream, strawberry preserve and cake. Served with a choice of teas, tisanes & coffees; Homemade cakes; £5.95 per person; Freshly baked daily; Tea Infusions; All £4.55; All served with homemade shortbread; English Breakfast, Earl Grey, Elderflower & Blossom Darjeeling. Pure Camomile, Mighty Assam, Simply Sencha, Superfruity, Thoroughly Minted",,No live music,Macdonald Elmers Court,Lymington Pier Rail Station,Available on request,Yes,South East,23.00,Afternoon Tea is served Tuesday - Saturday 12pm to 3:30pm,Available on request,,https://www.afternoontea.co.uk/uk/south-east/hampshire/macdonald-elmers-court/,Solent Cafe
"Romantic, stylish, luxurious; the Macdonald Compleat Angler Hotel is an award winning magical riverside retreat located in the town on Marlow. Located within close reach of London's Heathrow Aiport but still attractively placed on the banks of the well renowned River Thames, giving you the perfect opportunity to take in the water. You may be familiar with this hotel from author Jerome K Jerome, whose most famous work ""Three Men in a Boat"" celebrates the delightful charms of the Macdonald Compleat Angler Hotel.  Located within the Macdonald Compleat Angler, Bowaters is the ideal setting where a Traditional Afternoon Tea is served. Proudly showcasing an AA Rosette, Bowaters is sophisticated yet infinitely relaxed and during the summer the pretty terrace is opened to encapture a famous British summers day.  Afternoon Tea has always been a graceful and refined occasion, bringing people together for a brief hour's pleasure and refreshments, so why not take your group for Afternoon Tea at the Compleat Angler and relax to the sound of cascading waters of the Thames running over the town's weir.","Marlow Bridge, Marlow, Buckinghamshire,SL7",Buckinghamshire,,Children of all ages welcome,Yes,Guide dogs only,Smart casual,No,,,51.5664788,-0.7735731,,www.afternoontea.co.uk//media/pywjn1j0/aft-menu.pdf,No live music,Macdonald Compleat Angler,Marlow,,"Yes, weather dependant",South East,40.00,2.30pm to 4.30pm (tables vacated by 5.45pm),,,https://www.afternoontea.co.uk/uk/south-east/buckinghamshire/macdonald-compleat-angler/,Riverside Restaurant
"Macdonald Bear Hotel is one of the finest 4-star hotels in Oxfordshire and offers a beautiful slice of luxury in the heart of the English countryside. Set in Woodstock, in what was once a 13th century coaching inn, the hotel combines history and culture with exceptional facilities. With direct access to the historic city of Oxford and being set on the ground of the Historic Blenheim Palace, this hotel is a popular choice for leisure breaks, business and weddings.  Afternoon Tea is served in MacDonald Bear Hotel's swish Churchill Bar, where you can enjoy views of the market square, or their two AA rosette-winning Restaurant.  Afternoon Tea is a quaint affair at the hotel, served on a three-tier stand laden with traditional treats such as elegant finger sandwiches, freshly baked scones with thick Devonshire clotted cream and an array of decadent pastries. The best way to enjoy this enduring culinary tradition is with a classic tea or tisane - or if you really fancy a treat, with a glass of Champagne.  MacDonald Bear Hotel is a historic country house hotel, with the site dating back to the 13th century as a coaching inn. The hotel is directly accessible from Oxford and ideal location for a relaxing Afternoon Tea.","Park St, Woodstock ,OX20 1SZ",Oxford & Oxfordshire,,Children of all ages welcome and a children's Afternoon Tea is available on request,Yes,Guide dogs only,Smart casual,No,"Available on request, please specify at time of booking","Available on request, please specify at time of booking",51.847414,-1.356490,,www.afternoontea.co.uk//media/xf4pvqh4/afternoon-tea-2024.pdf,No live music,MacDonald Bear Hotel,,"Available on request, please specify at time of booking",No,South East,30.00,Afternoon Tea is served 12pm to 5pm every day,"Available on request, please specify at time of booking",,https://www.afternoontea.co.uk/uk/south-east/oxford-oxfordshire/macdonald-bear-hotel/,Front Room
"Macdonald Bath Spa Hotel offers a hidden haven of beauty and timeless excellence in the heart of historic Bath.  The hotel overlooks stunning landscape gardens and offers a first-class experience in superb surroundings. The private landscape gardens and sensuous spa are just a few of the luxurious features that make the Bath Hotel & Spa ideal for a tranquil getaway in the glorious English countryside.  The Drawing Room is quintessentially English - offering a selection of Afternoon Teas and exquisite Champagne Teas in a luxury venue. Settle into one of the comfortable sofas and take in the glorious scenery, with views of the gardens complementing each sip of fine tea.","Sydney Road, Bath,BA2 6NS",Bath,,Children of all ages welcome,Yes,Guide dogs only,Smart casual,Yes,,,51.385803,-2.347331,,www.afternoontea.co.uk//media/0lod0qq3/bath-spa-hotel-at-menu.pdf,No live music,Macdonald Bath Spa Hotel,Bath Spa,,Colonnade Terrace,South West,40.00,Afternoon Tea is served 1pm to 4pm every day,,,https://www.afternoontea.co.uk/uk/south-west/bath/macdonald-bath-spa-hotel/,Drawing Room
"M Bar and Kitchen is a new bistro, with a patio and landscaped gardens, located within the Mayfield Villages in Watford.  The traditional Afternoon Tea menu features a selection of sandwiches, including smoked salmon & cream cheese, Coronation chicken and cucumber & mint. Sweet treat include, lemon tart, Genoa cake and profiteroles. Plain and fruit scones are served with jam and clotted cream.  Choose from a selection of tea including Earl Grey, English Breakfast and Chamomile.  Add a glass of Prosecco, Champagne or a cocktail from the bar.  Afternoon Tea is served every day and costs £22.50 per person. 24 hours advance booking is required.","Mayfield Villages, Heron Place, Colnebank Drive, Watford,WD18 0LQ",North London,,Children of all ages welcome,Yes,Yes,,Yes,Yes - 48 hours notice required,Yes - 48 hours notice required,51.64630,-0.40390,,www.afternoontea.co.uk//media/114etdwi/mayfield-afternoon-tea-menu-july-2024.pdf,,M Bar and Kitchen at Mayfield Villages,Watford Junction or Bushey,Yes - 48 hours notice required,Yes,London,22.50,"Monday to Thursday 10:00-18:00, Friday & Saturday 10:00-20:00, Sunday 10:00-15:00",Yes - 48 hours notice required,Yes - 48 hours notice required,https://www.afternoontea.co.uk/uk/london/north-london/m-bar-and-kitchen-at-mayfield-villages/,Restaurant
"Treat yourself to an elegant Afternoon Tea at The Lytton at Chalfont Dene, a beautiful hideaway in the hills of Buckinghamshire, where guests can enjoy delicious savouries, scones and sweet treats for just £22.95.  Located in Chalfont House, the elegant restaurant boasts grand chandeliers, crisp white linen and purple velvet accents for a modern update on the fine-dining experience.  There is a great emphasis on seasonal, local produce at The Lytton - expect a delicious range of finger sandwiches, classic homemade scones and preserves, plus sweet treats and teas.  Soak up the beauty of the Buckinghamshire countryside before leaving for Gerrard's Cross Rail Station, which is just a leisurely drive away.  On your visit your Afternoon Tea may be presented a little differently to the images displayed. The venue vary their selection of sweet treats according to seasonality and adapt their offering so that regular guests can look forward to something new each time. They also theme their Afternoon Tea from time to time, so your experience will feel a little more exclusive during events such as Valentine’s Day, Mother’s Day, Easter, Father’s Day, Halloween and Christmas.  A lighter Cream Tea option is available should you prefer, and  Vegan and Gluten-free dietary requirements can also be catered for. The venue politely ask that all Afternoon Tea bookings are placed in advance and that any special requests are made at the time of booking, to ensure they can provide the best possible experience on the day.","Chalfont Dene, Chalfont St Peter, Gerrards Cross ,SL9 0LX",Buckinghamshire,,Children of all ages welcome,Yes,Guide dogs only,Smart casual,Yes,Yes,No,51.620486,-0.544882,"Traditional Afternoon Tea Menu; ; Finger sandwiches served on white and wholemeal bread; Ham and sundried tomato,; smoked salmon and cream cheese,; egg mayonnaise,; cheese and chutney; ; Two scones, clotted cream and; strawberry preserve; ; Selection of Afternoon Tea cakes; ; £22.95 per person; Sparkling Afternoon Tea: £25.95 per person; ; Children’s Afternoon Tea Menu; ; Sandwich triangles on white bread; Ham, Cheese, Strawberry jam; ; Plain scone and strawberry preserve; ; Selection of sweet treats; Jelly pot; Brownie; Shortbread; Fresh fruit skewer; ; £12.50 per person; (recommended for children up to the age of 10); ;",,No live music,The Lytton at Chalfont Dene,Gerrards Cross,Yes,On the terrace,South East,22.95,Afternoon Tea is served 2pm to 5pm Monday - Saturday,Yes,,https://www.afternoontea.co.uk/uk/south-east/buckinghamshire/the-lytton-at-chalfont-dene/,Lytton Restaurant or terrace
"Heavy silver cutlery, crisp white linen and the ""clink"" of a fine bone china tea cup being returned to its saucer, all help to make Afternoon Tea at Luton Hoo very special.  So too is the Afternoon Tea menu, which includes tiers of plates piled with sandwiches, cakes and scones, with side dishes of strawberry jam and clotted cream. There is also the choice of a variety of blended teas from all over the world. To make the occasion extra special, why not opt to enjoy the Champagne Afternoon Tea.  Afternoon Tea can be enjoyed in the regal setting of either of the beautiful lounges, the pillared hall or drawing room, under gleaming chandeliers and in the comfort of period sofas and armchairs.","The Mansion House, Luton, Bedfordshire,LU1 3TQ",Bedfordshire,,Children of all ages welcome,Yes,Guide Dogs only,Smart casual,Yes,"Yes, available upon request",,51.848696,-0.401720,"SAMPLE AFTERNOON TEA MENU; A selection of sandwiches and savouries; Roast sirloin of British beef with truffled mayonnaise served in white bread; Severn and Wye oak smoked salmon and lemon cream cheese served in multigrain bread; Tandori chicken breast and seasoned yoghurt served in basil bread; Crème cheese, garden chives and sliced cucumber served in a dark rye petit pan; Caramelised onion and English mustard tart; A freshly baked raisin and plain buttermilk scone; Served with clotted cream and strawberry preserve; ; Assortment of cakes and pastries; Salted caramel and dark chocolate tart; Pineapple and coconut cake; Blackberry and apple Battenberg; Pear and ginger choux bun; A pot of tea or coffee;",,No live music,Luton Hoo Hotel,Luton Airport Parkway,"Yes, available upon request",No,East of England,40.00,Afternoon Tea is served 1:30pm to 5:00pm every day,"Yes, available upon request",,https://www.afternoontea.co.uk/uk/east-of-england/bedfordshire/luton-hoo-hotel/,Lounge or Drawing Room
"Surrounded by beautiful parklands overlooking the River Wear, Lumley Castle serves as one of the finest hotel and dining destinations in the North East. Enjoy the quintessential British tradition of Afternoon Tea in the Castle's stylish Library Bar or Knight Restaurant.  Your Afternoon Tea spread will include assorted finger sandwiches, scrumptious cakes, homemade scones with jam and cream, alongside your choice of freshly brewed tea or coffee.","Chester le Street, County Durham,DH3 4NX",County Durham,,Guests aged 16 or over are welcome,Yes,Guide dogs only,Smart casual,Yes,,,54.853258,-1.553739,,,No live music,Lumley Castle Hotel,Chester-Le-Street,,No,North East,35.00,Afternoon Tea is served 3pm to 5pm every day,,,https://www.afternoontea.co.uk/uk/north-east/county-durham/lumley-castle/,Bar or Restaurant
"Enjoy Afternoon Tea with an Asian twist at Lucy Wong, offering a tiered stand of Cantonese savouries, hand-crafted patisseries and a free-flowing teapot of your choice of Chinese tea.  Inside the venue are a selection of stylish, Asian inspired spaces. Walls are adorned with custom paintings and tapestries, and the room is complete with velour armchairs and cosy chaise lounges lit by Chinese lanterns. Afternoon Tea is served in Lucy's luxurious lounge or gallery area. The gallery is made up of traditional style dining tables with booth style seating, with a gallery of Asian inspired art works framing the wall, and lit by overhead lanterns. The lounge is comprised of low style armchairs and sofas, with ambient dimmed lighting and a relaxed atmosphere.  Served on a tiered stand for two, Afternoon Tea is comprised of Cantonese inspired savouries, including Dim Sum and mini bao, offering Asian flavours through the pork with hoisin sauce, and salmon with teriyaki sauce. The patisseries are hand-made by the patisserie chef, and include nods to Asian flavours such as pandan and yuzu. There is a patisserie dessert for everyone, ranging from the soft textures from the coconut pandan mousse, to the bitter flavours of the chocolate caramel ‘tart’ and spiced notes from the ginger apple friand. Guests also receive a free-flowing tea pot each of a Chinese or British tea of their choice from the tea menu.  Guests can now opt for Lucy’s Bottomless Spritz Afternoon Tea experience, adding 90-minutes of Bottomless Spritz cocktails - the perfect treat for summer, made to be enjoyed in Lucy’s outdoor courtyard. Guests can choose from Aperol Spritz, Miao Spritz, Sansho Spritz or the RUBY QIPÁO - a delicious mix of Chambord, Crème de Mure, Cucumber Bitters, Shiso, Prosecco and Pink Grapefruit. Combining Lucy’s love for cocktails and Afternoon Tea, Lucy Wong has collaborated with globally renowned whiskey brand House of Suntory to create a bespoke experience, with a Bottomless Suntory Afternoon Tea featuring 90-minutes of bottomless cocktails, with three premium serves to choose from.  Enjoy Lucy Wong’s Afternoon Tea for only £35 per person or upgrade to Bottomless Spritz Afternoon Tea for £55pp. Alternatively, opt for the Bottomless Suntory Afternoon Tea package with 90-minutes of bottomless cocktails for £75pp.","33-34 Rathbone Pl, London,W1T 1JN",Oxford Street,,No,No,No,Smart Casual,No,No,No,51.51760566821596,-0.13419340331849489,,www.afternoontea.co.uk//media/rm3ptar2/lw_afternoonteamenu_24.pdf,No,Lucy Wong,Tottenham Court Road,"Yes, with advance notice","Yes, there is a heated and covered courtyard",London,35.00,Afternoon Tea is served every Saturday from 3pm - 5pm,"Yes, with advance notice","Yes, with advance notice",https://www.afternoontea.co.uk/uk/london/oxford-street/lucy-wong/,Inside Lucy's Gallery or Lucy's Lounge
"Gracing the banks of the River Thames, The Royal Horseguards began life as the National Liberal Club, offering its members a sanctuary from the rough-and-tumble of Westminster politics. Designed by Alfred Waterhouse, whose architectural legacy in London includes the Natural History Museum, it played host to some of Britain's greatest writers, thinkers and political leaders: the foundation stone in the cellars was laid by William Gladstone, one of five Club members who went on to serve as Prime Minister.  More than 120 years on, this magnificent 5 star hotel near Charing Cross, Trafalgar Square, The Strand and Covent Garden, has been restored to its full Victorian splendour offering a warm, welcoming and relaxing haven in the very heart of London.  The hotel has a delightful outdoor Terrace that provides a secluded haven to enjoy Afternoon Tea, views over famous landmarks including the London Eye, with the Victorian hotel's exterior providing a stunning backdrop.  This hotel has been awarded a Commended certificate at the Afternoon Tea Awards 2016 to recognise this elegant venue's high standards in Afternoon Tea service.","2 Whitehall Ct, Westminster, London,SW1A 2EJ",Covent Garden,Afternoon Tea Awards 2016 - Commended,Children of all ages welcome,Yes,Guide dogs only,Smart casual,No,,,51.506017,-0.124116,,www.afternoontea.co.uk//media/olpdvuuw/chg249y_rhg_afternoontea_210x99_v3.pdf,No live music,The Lounge at Royal Horseguards Hotel,Charing Cross,,Terrace,London,50.00,Afternoon Tea is served 1pm to 6pm every day,,,https://www.afternoontea.co.uk/uk/london/covent-garden/the-lounge-at-royal-horseguards-hotel/,OneTwentyOneTwo Lounge or Terrace
"Located in the historic heart of The Caledonian Edinburgh, The Lounge is the perfect setting for an unforgettable Afternoon Tea, light lunch or elegant evening cocktails in Edinburgh’s city centre.  Their gifted pastry chefs create a seasonal Afternoon Tea menu that can only be matched by the finest teas this world has to offer, while our experienced team of bartenders craft a selection of true classics and signature Caledonian cocktails, using only the finest spirits and freshest ingredients. Unwind in the historic surrounds of The Lounge, reminiscing over the heritage and charm of Scotland’s capital city.  Hailing from the tennis court to the rugby pitch, discover your ‘perfect match’ this summer in The Lounge, embracing a season of British Sports. Taste your way through an abundance of fresh summer berries, sweet and savoury treats and delectable creations, one bite at a time, in the heart of The Caley.","Princes Street, Edinburgh,EH1 2AB",Edinburgh,Afternoon Tea Awards 2018 - Commended,Children of all ages welcome. Children's Afternoon Tea costs £30.00,Yes,Guide dogs only,Smart casual,No,"Yes, available upon request. Please specify at the time of booking","Yes, available upon request. Please specify at the time of booking",55.949494,-3.207147,,www.afternoontea.co.uk//media/srppuivb/afternoon-tea-menus.pdf,Live harpist 2pm to 5pm on Saturday & Sunday,The Lounge at The Caledonian,"Haymarket, Edinburgh Train Station",No,No,Scotland,60.00,Afternoon Tea is served 12pm to 4.30pm every day,"Yes, available upon request. Please specify at the time of booking","Yes, available upon request. Please specify at the time of booking",https://www.afternoontea.co.uk/uk/scotland/edinburgh/the-lounge-at-the-caledonian/,The Lounge at The Caledonian
"Enjoy Afternoon Tea in London's most secretive garden. Tucked away in the back streets of Kensington are five stunning pop-up domes laid out. Each dome is fully air-conditioned and exclusive to you, so rest assured only you and your friends will have complete privacy in your dome.  Enjoy an Afternoon Tea served with freshly prepared classical sandwiches. As tradition suggests you cannot have an afternoon tea without English scones. Served as warm vanilla scented both plain and raisin scones along with traditional Devonshire clotted cream and tip tree strawberry jam as well as a generous selection of desserts. Each sitting is for one and a half hour period. You are welcome to continue your afternoon in the Garden or Kens Bar.  Located in the borough of Kensington and Chelsea, close to the museum district, Hyde Park and Harrods, London Secret Garden Kensington is the perfect setting for Afternoon Tea with your friends, family or colleagues.","100 Cromwell Rd, London,SW7 4ER",Kensington & Chelsea,,Children of all ages welcome,Yes to the Library and Kens Bar,Guide dogs only,Smart casual,Yes,"Yes, available upon request","Yes, available upon request",51.495109,-0.183866,,www.afternoontea.co.uk//media/wrfjmkbn/afternoon-tea-menu-a5-230224.pdf,No live music,"London Secret Garden, Kensington",Nearest main rail Victoria or Kensington Olympia,"Yes, available upon request",,London,40.00,Afternoon Tea is served 12pm to 5pm every day,"Yes, available upon request","Yes, available upon request",https://www.afternoontea.co.uk/uk/london/kensington-chelsea/london-secret-garden-1/,"The Library, The Secret Garden, Kens Bar and Restaurant"
"Originally a stately apartment building overlooking Hyde Park and Marble Arch, the five-star London Marriott Hotel Park Lane is now a leading boutique hotel in Mayfair serving a stunning Botanical Afternoon Tea in its restaurant and bar, Lanes of London.  Inspired by London’s most recognisable icons, tasty finger sandwiches, delightful pastries and freshly baked scones adorn the menu, served on a modern, multi-tiered stand. Featuring a lavender white chocolate mousse handbag, a basil infused blackberry and yoghurt teapot and more. All to be enjoyed while sipping one of our carefully selected Jing teas, bubbles or house cocktails.  Just steps from the greenery of Hyde Park, the afternoon tea takes its botanical influence from English gardens and ingredients, offering a calming retreat from the hustle and bustle of Oxford Street.  Available Friday-Sunday from 12:00 to 4:00pm. Starting from £50 per person with a glass of bubbles.","140 Park Lane, Mayfair, London,W1K 7AA",Mayfair,Afternoon Tea Awards 2019 - Highly Commended,Children of all ages welcome,Yes,Guide dogs only,Smart casual,No,"Yes, please specify at the time of booking","Yes, please specify at the time of booking",51.512941,-0.157746,,www.afternoontea.co.uk//media/cw4p2mec/botanical-afternoon-tea-menu-lanes-of-london_june-2024.pdf,No live music,London Marriott Hotel Park Lane,Marble Arch,"Yes, please specify at the time of booking",No,London,50.00,Afternoon Tea is served Friday-Sunday from 12:00 to 4:00pm,"Yes, please specify at the time of booking","Yes, please specify at the time of booking",https://www.afternoontea.co.uk/uk/london/mayfair/london-marriott-hotel-park-lane/,Lanes of London
"Situated in the Borough of Southwark and at the foot of The Shard, London Bridge Hotel is a 4-star boutique Hotel, surrounded by museums and art galleries.  Afternoon Tea is served in the stylish Quarter Bar & Lounge which features beautiful sash windows. Sink into a cosy leather booth or armchair, and enjoy a homely atmosphere while indulging yourself with delectable Afternoon Tea.  The Afternoon Tea includes an array of traditional finger sandwiches, homemade plain & fruit scones, and selection of delicious pastries. You can even compliment your Afternoon Tea with a glass of champagne or a sparkling cocktail.","10 London Bridge Street, London,SE1 9SG",South Bank,,Children of all ages welcome,Yes,Guide dogs only,Smart casual,No,,,51.505410,-0.088204,,www.afternoontea.co.uk//media/ltfjosug/quarter-bar-afternoon-tea-menu.pdf,No live music,London Bridge Hotel,London Bridge Station,,No,London,32.00,Afternoon Tea is served 3pm to 5pm Monday - Friday and 4pm - 5pm on evenings and weekends,,,https://www.afternoontea.co.uk/uk/london/south-bank/london-bridge-hotel/,Quarter Bar & Lounge
"Once the working residence to Duxford RAF base commander, The Lodge now boasts a modern setting in a beautiful village location.  Enjoy a Rustic Afternoon Tea in the Dining Room, one of the private Glasshouses or in the Courtyard Garden. Upgrade to Prosecco or Champagne for those special occasions.  The menu features Afternoon Tea favourites, including Cucumber & Cream Cheese, Smoked Salmon and Honey Roast Ham & Mustard sandwiches.  Rustic Afternoon Tea costs from £17.95 per person. Children can also enjoy their own Afternoon Tea for just £8.95 per child.","Ickleton Road, Duxford, Cambridge,CB22 4RT",Cambridge,,Children of all ages are welcome,"Yes, in all food and beverage areas",Yes - Dog friendly throughout,None,Yes,Yes - 24 hour notice required,Yes - 24 hour notice required,52.08879,0.15643,,www.afternoontea.co.uk//media/hpkbrglu/afternoon-tea-menu.pdf,,"The Lodge, Duxford",Whittlesford Parkway (London Liverpool St to Cambridge Line),Yes - 24 hour notice required,Yes,East of England,17.95,Monday to Saturday 12pm to 5pm,Yes - 24 hour notice required,Yes - 24 hour notice required,https://www.afternoontea.co.uk/uk/east-of-england/cambridge/the-lodge-duxford/,"Dining Room, Graze Café, Private Glasshouse, Churchill’s Bar, Courtyard Garden"
"Enjoy an Afternoon Tea in The Lobby Lounge at the InterContinental Dublin Hotel. This luxurious lounge looks onto the hotel's stunning garden terrace and is the perfect place to relax or meet with friends and family.  Afternoon Tea is served in The Reading Room, an elegant dining area with huge windows showcasing the picturesque scenes of the beautiful hotel garden.  Their menu features a selection of classic finger sandwiches including their Lobster Roll and their Tomato Bread with Prosciutto and Dubliner Cheese. Indulge in an array of scones and citrus tarts and pastries including their Watermelon and Lime Vacherin and Apricot and Almond Entremet, served alongside a wide selection of twenty five teas.  The Lobby Lounge at the InterContinental Hotel Dublin is located close to Herbert Park and Ballsbridge, and is within close proximity of Sandymouth train station .","Simmonscourt Rd, Dublin, Ireland, D04 A9K8",Dublin,,Children of all ages welcome,Wheelchair Access,Guide and assistance dogs only,Smart casual,,,,53.32679537928093,-6.226002914359912,,www.afternoontea.co.uk//media/xgif2vp5/the-lobby-lounge-afternoo-tea-menu.pdf,"Live pianist every Wednesday, Thursday & Sunday 7 – 9pm and Friday & Saturday 8 – 10pm.",The Lobby Lounge,Sandymount Train Station,,,Ireland,65.00,Afternoon Tea is served daily between 12pm and 4:30pm.,Yes,Yes,https://www.afternoontea.co.uk/uk/ireland/dublin/the-lobby-lounge/,The Reading Room
"Macdonald Frimley Hall is a luxurious Hotel and Spa nestled within the Camberley region and boasts a mouth-watering yet traditional approach to Afternoon Tea.  The sweeping grounds of the hotel are as grand and jaw-dropping a venue as they come, featuring luscious grounds  Enjoy a three tier Afternoon Tea comprised of traditional finger sandwiches, freshly baked scones with Devonshire clotted cream and strawberry preserve and assorted fresh fine pastries & cakes. Make it a truly special occasion by upgrading to a Champagne Afternoon Tea package for just an extra £10.  Camberley Rail Station is under a mile away, so why not have a leisurely stroll through the mesmering Surrey countryside before departing?","Macdonald Frimley Hall Hotel &amp; Spa, Lime Avenue, Camberley,GU15 2BG",Surrey,,Children of all ages welcome,Yes,Guide dogs only,Smart casual,Yes,Request at time of booking,Request at time of booking,51.339000,-0.726130,,www.afternoontea.co.uk//media/cwzdftmu/updated-afternoon-tea-menu-05-04-22.pdf,No live music,Linden Restaurant at Macdonald Frimley Hall Hotel & Spa,Camberley Rail Station,Request at time of booking,No,South East,32.00,Afternoon Tea is served 12:30pm to 4pm every day,Request at time of booking,,https://www.afternoontea.co.uk/uk/south-east/surrey/linden-restaurant-at-macdonald-frimley-hall-hotel-spa/,In the restaurant
"Light is the new top floor restaurant & bar at the Towner Art Gallery in Eastbourne, with the beautiful coastline right on the doorstep.  The restaurant has a contemporary interior, with a room drenched in sunlight. The outside terrace provides stunning views across the town, including views overlooking the tennis courts home to Eastbourne's annual international tournament, featuring some of Wimbledon's stars.  Afternoon Tea is served in the main restaurant, or on the terrace, perfect for a warm spring or summer afternoon.  The menu changes monthly, and has a Scandinavian influence. Afternoon Tea includes mini Scandinavian-inspired Smørrebrød open sandwiches, mini desserts and scones with jam and cream. Enjoy your Afternoon Tea with tea and coffee, or why not add a glass of sparkling wine to mark the occasion?","Towner Gallery, Devonshire Park, College Road, Eastbourne,BN21 4JJ",East Sussex,,Yes,Yes,No,No Dress Code,No,"Yes, advance notice required",No,50.762791836540856,0.2828122522548445,,www.afternoontea.co.uk//media/mgzfcrzr/a5-afternoon-tea-dragged.pdf,No,Light at Towner,Eastbourne,"Yes, advance notice required","Yes, on the outside terrace",South East,28.00,"Afternoon Tea is served Tuesday to Sunday, from 2:30pm - 4:30pm","Yes, advance notice required","Yes, advance notice required",https://www.afternoontea.co.uk/uk/south-east/east-sussex/light-at-towner/,The main restaurant or the outside terrace
